year,month,day,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020,2,24,0.03,0.00571,0.11,0.02,0.0143,0,0.00258
2020,2,25,0.0357,0.00857,0.114,0.0214,0.0171,-0.00143,0.00397
2020,2,26,0.0429,0.0114,0.11,0.0243,0.0186,-0.00286,0.00557
2020,2,27,0.0529,0.0157,0.121,0.03,0.0214,-0.00429,0.00701
2020,2,28,0.0614,0.0229,0.13,0.0357,0.0243,-0.00571,0.00839
2020,2,29,0.0686,0.0286,0.127,0.0386,0.0243,-0.00714,0.0109
2020,3,1,0.0771,0.0371,0.12,0.0414,0.0257,-0.00714,0.0109
2020,3,2,0.0843,0.0443,0.121,0.0429,0.0257,-0.00857,0.0126
2020,3,3,0.0943,0.0571,0.137,0.0443,0.0257,-0.01,0.014
2020,3,4,0.0957,0.0629,0.154,0.0429,0.0271,-0.01,0.014
2020,3,5,0.0957,0.0686,0.167,0.04,0.0286,-0.0114,0.0154
2020,3,6,0.0914,0.0686,0.17,0.0357,0.0286,-0.0114,0.0154
2020,3,7,0.0886,0.07,0.181,0.0357,0.03,-0.01,0.0129
2020,3,8,0.0843,0.0671,0.213,0.0329,0.0286,-0.01,0.0129
2020,3,9,0.0829,0.0671,0.243,0.0286,0.0243,-0.00857,0.0112
2020,3,10,0.0757,0.0629,0.24,0.02,0.0186,-0.00571,0.00844
2020,3,11,0.0757,0.0686,0.253,0.0143,0.0129,-0.00429,0.00684
2020,3,12,0.0729,0.0914,0.25,0.00286,0.00429,-0.00143,0.00396
2020,3,13,0.0686,0.124,0.239,-0.0143,-0.00857,0.00429,-0.00157
2020,3,14,0.0457,0.139,0.201,-0.0386,-0.0171,0.01,-0.0116
2020,3,15,0.0186,0.146,0.151,-0.0643,-0.03,0.0157,-0.0232
2020,3,16,-0.00143,0.167,0.106,-0.0943,-0.0586,0.0271,-0.0368
2020,3,17,-0.0357,0.177,0.0914,-0.127,-0.0943,0.0414,-0.0507
2020,3,18,-0.0814,0.174,0.0629,-0.167,-0.137,0.06,-0.0715
2020,3,19,-0.13,0.151,0.0386,-0.21,-0.18,0.08,-0.0916
2020,3,20,-0.179,0.121,0.03,-0.249,-0.221,0.0986,-0.11
2020,3,21,-0.227,0.0929,0.0214,-0.286,-0.254,0.111,-0.132
2020,3,22,-0.277,0.0571,-0.00286,-0.33,-0.289,0.123,-0.155
2020,3,23,-0.32,0.0129,-0.0343,-0.366,-0.319,0.136,-0.171
2020,3,24,-0.35,-0.0243,-0.06,-0.394,-0.344,0.147,-0.182
2020,3,25,-0.373,-0.0571,-0.0786,-0.419,-0.366,0.156,-0.191
2020,3,26,-0.39,-0.0871,-0.0771,-0.436,-0.386,0.163,-0.199
2020,3,27,-0.404,-0.117,-0.0843,-0.453,-0.4,0.17,-0.205
2020,3,28,-0.416,-0.141,-0.116,-0.471,-0.414,0.174,-0.213
2020,3,29,-0.42,-0.154,-0.126,-0.481,-0.424,0.176,-0.216
2020,3,30,-0.423,-0.166,-0.114,-0.486,-0.434,0.179,-0.219
2020,3,31,-0.424,-0.171,-0.123,-0.49,-0.44,0.18,-0.221
2020,4,1,-0.42,-0.166,-0.123,-0.491,-0.444,0.181,-0.222
2020,4,2,-0.42,-0.161,-0.14,-0.496,-0.449,0.183,-0.224
2020,4,3,-0.42,-0.156,-0.16,-0.499,-0.454,0.184,-0.225
