year,state_FIPS,county_FIPS,state,county,dvoteswing_inc,dpct_grants,dpc_income,inc_ad_diff,inc_campaign_diff,dhousevote_inc,iraq_cas2004,iraq_cas2008,dpct_popl,comp_state,state_abb
1988,1,1,Alabama,Autauga County,-3.169998169,28.40553224,0.887300491,-0.939999998,0,-19.43301392,0,0,0.046741769,0,AL
1992,1,1,Alabama,Autauga County,-3.709999084,21.79146558,0.262367249,2.700000048,1,11.97232056,0,0,0.069835894,0,AL
1996,1,1,Alabama,Autauga County,-1.080001831,7.293750346,0.369371414,0.423000008,0,9.501459122,0,0,0.117326662,0,AL
2000,1,1,Alabama,Autauga County,-5.349998474,38.14145923,0.267173767,0,0,-0.704433441,0,0,0.091153279,0,AL
2004,1,1,Alabama,Autauga County,5.340003967,29.81877625,0.191949844,0,0,1.548606873,0,0,0.069771156,0,AL
2008,1,1,Alabama,Autauga County,-2.091293335,-5.493221059,-0.151908875,0.002,0,-19.85070801,0,2,0.072891146,0,AL
1988,1,3,Alabama,Baldwin County,-3.779998779,-31.78925812,0.547912598,-0.939999998,0,-40.27629089,0,0,0.091029599,0,AL
1992,1,3,Alabama,Baldwin County,-5.36000061,77.90535688,0.908115387,2.700000048,1,-37.92675018,0,0,0.1262137,0,AL
1996,1,3,Alabama,Baldwin County,-1.470001221,-0.295697199,0.762685776,0.423000008,0,1.758815765,0,0,0.176527977,0,AL
2000,1,3,Alabama,Baldwin County,-4.719999313,16.27954096,0.804256439,0,0,0,0,0,0.127148911,0,AL
2004,1,3,Alabama,Baldwin County,2.760002136,12.34627217,1.442127228,0,0,1.603942871,4,0,0.107634515,0,AL
2008,1,3,Alabama,Baldwin County,-1.286048889,-39.89983797,-0.984363556,0.002,0,31.84401703,0,4,0.125430316,0,AL
1988,1,5,Alabama,Barbour County,2.060001373,13.21820766,1.016666412,-0.939999998,0,33.30132294,0,0,0.011141391,0,AL
1992,1,5,Alabama,Barbour County,-8.319999695,-0.143436983,0.471572876,2.700000048,1,-0.485710144,0,0,0.067816094,0,AL
1996,1,5,Alabama,Barbour County,4.950000763,-24.95726198,-0.362140656,0.423000008,0,9.501459122,0,0,0.050369326,0,AL
2000,1,5,Alabama,Barbour County,-2.739997864,1.570785418,-0.732658386,0,0,-0.704433441,0,0,0.026044244,0,AL
2004,1,5,Alabama,Barbour County,9.120002747,-6.771811843,0.596643448,0,0,1.548606873,0,0,0.014568624,0,AL
2008,1,5,Alabama,Barbour County,-4.203567505,40.37316442,-0.791254044,0.002,0,-19.85070801,0,2,0.012831829,0,AL
1988,1,7,Alabama,Bibb County,-5.419998169,6.536882371,0.95164299,-0.939999998,0,-8.455833435,0,0,0.002921251,0,AL
1992,1,7,Alabama,Bibb County,-4.38999939,10.08519754,0.295175552,2.700000048,1,-9.46267128,0,0,0.078520082,0,AL
1996,1,7,Alabama,Bibb County,-0.38999939,-40.86439312,0.11431694,0.423000008,0,-15.17992401,0,0,0.08515773,0,AL
2000,1,7,Alabama,Bibb County,-8.939998627,-3.185605258,0.948617935,0,0,-41.8972168,0,0,0.055652633,0,AL
2004,1,7,Alabama,Bibb County,11.18000412,9.84602198,0.875421524,0,0,0,1,0,0.063804172,0,AL
2008,1,7,Alabama,Bibb County,0.775657654,10.58785394,-0.10486412,0.002,0,0,0,1,0.017964918,0,AL
1988,1,9,Alabama,Blount County,-3.36000061,9.876457602,1.69203186,-0.939999998,0,-22.5043602,0,0,0.039684698,0,AL
1992,1,9,Alabama,Blount County,-4.07000351,-3.356041759,0.08745575,2.700000048,1,29.76947975,0,0,0.067241833,0,AL
1996,1,9,Alabama,Blount County,-2.100002289,-49.4508028,0.856998444,0.423000008,0,-50.86414719,0,0,0.110773601,0,AL
2000,1,9,Alabama,Blount County,-7.63999939,8.258152008,0.006574631,0,0,-5.406677246,0,0,0.128727064,0,AL
2004,1,9,Alabama,Blount County,9.739997864,-4.940373451,0.351455688,0,0,-25.16876221,0,0,0.064242586,0,AL
2008,1,9,Alabama,Blount County,3.738006592,-19.69916373,-0.571392059,0.002,0,4.596984863,0,1,0.061043896,0,AL
1988,1,11,Alabama,Bullock County,-1.139997482,159.1175199,0.287947655,-0.939999998,0,33.30132294,0,0,0.033259425,0,AL
1992,1,11,Alabama,Bullock County,-3.510000229,23.16038162,0.915628433,2.700000048,1,-0.485710144,0,0,-0.005275393,0,AL
1996,1,11,Alabama,Bullock County,0.5,6.37678504,-0.654560089,0.423000008,0,9.501459122,0,0,0.040359549,0,AL
2000,1,11,Alabama,Bullock County,-2.410003662,-1.707104407,-0.840389252,0,0,-0.704433441,0,0,0.002592016,0,AL
2004,1,11,Alabama,Bullock County,2.079999924,-2.453535981,0.860830307,0,0,1.548606873,0,0,-0.048776284,0,AL
2008,1,11,Alabama,Bullock County,-5.990056992,106.1329961,-0.180582047,0.002,0,-19.85070801,0,0,-0.010599746,0,AL
1988,1,13,Alabama,Butler County,-4.470001221,21.94759101,0.213432312,-0.939999998,0,33.30132294,0,0,-0.010515528,0,AL
1992,1,13,Alabama,Butler County,-6.609996796,32.70812333,0.649246216,2.700000048,1,-0.485710144,0,0,-0.018597739,0,AL
1996,1,13,Alabama,Butler County,-0.199996948,-49.86836314,0.162441254,0.423000008,0,9.501459122,0,0,0.003166009,0,AL
2000,1,13,Alabama,Butler County,-6.680000305,-35.11982262,0.352611542,0,0,-0.704433441,0,0,-0.025156658,0,AL
2004,1,13,Alabama,Butler County,5.960002899,1.588154584,0.706520081,0,0,1.548606873,0,0,-0.039271805,0,AL
2008,1,13,Alabama,Butler County,-2.601821899,103.4605503,-0.016180038,0.002,0,-19.85070801,0,0,-0.014895488,0,AL
1988,1,15,Alabama,Calhoun County,-3.220001221,-13.94493431,0.387794495,-0.939999998,0,-19.43301392,0,0,-0.036791824,0,AL
1992,1,15,Alabama,Calhoun County,-5.780002594,16.89143181,0.349691391,2.700000048,1,11.97232056,0,0,-0.012416852,0,AL
1996,1,15,Alabama,Calhoun County,2.129997253,-16.67362601,0.050743103,0.423000008,0,-15.17992401,0,0,0.007599046,0,AL
2000,1,15,Alabama,Calhoun County,-5.079998016,15.40574878,-5.61E-04,0,0,-41.8972168,0,0,-0.045781769,0,AL
2004,1,15,Alabama,Calhoun County,7.840003967,-10.11446118,1.037622452,0,0,10.16020203,1,0,0.002451905,0,AL
2008,1,15,Alabama,Calhoun County,0.034675598,-24.00026768,-0.146930695,0.002,0,-6.621932983,0,4,0.016189581,0,AL
1988,1,17,Alabama,Chambers County,-0.090000153,-5.892000347,0.33016777,-0.939999998,0,-19.43301392,0,0,-0.043201186,0,AL
1992,1,17,Alabama,Chambers County,-11.21999741,22.21808583,0.657506943,2.700000048,1,11.97232056,0,0,-0.009094557,0,AL
1996,1,17,Alabama,Chambers County,2.850002289,-11.21790335,0.203409195,0.423000008,0,-15.17992401,0,0,-0.003725199,0,AL
2000,1,17,Alabama,Chambers County,-5.760002136,20.42957395,-0.251646042,0,0,-41.8972168,0,0,-0.008507871,0,AL
2004,1,17,Alabama,Chambers County,6.959999084,20.89527547,0.596277237,0,0,10.16020203,1,0,-0.032957122,0,AL
2008,1,17,Alabama,Chambers County,-4.4646492,0.870754011,-1.135953903,0.002,0,-6.621932983,0,1,-0.025828695,0,AL
1988,1,19,Alabama,Cherokee County,-4.119998932,-25.31868219,1.268224716,-0.939999998,0,-22.5043602,0,0,0.027805572,0,AL
1992,1,19,Alabama,Cherokee County,-8.049999237,36.83760464,0.348381042,2.700000048,1,29.76947975,0,0,0.034021623,0,AL
