year,candidate,state,fips,battle,number_fo,dummy_fo,population,totalvote,demvote,dempct,turnout,turnout_lag,turnout_change,dummy_fo_lag,dummy_fo_change,dempct_lag,dempct_change
2012,Obama,Alabama,1001,FALSE,0,0,50354,23973,6363,0.265423596,0.476089288,0.469495969,0.006593319,0,0,0.257730186,0.00769341
2008,Obama,Alabama,1001,FALSE,0,0,50354,23641,6093,0.257730186,0.469495969,0.42515927,0.044336699,0,0,0.238399997,0.019330189
2004,Kerry,Alabama,1001,FALSE,0,0,46933,19954,4758,0.238399997,0.42515927,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1003,FALSE,0,0,176212,85491,18424,0.215508059,0.485159921,0.462017343,0.023142578,0,0,0.2381192,-0.022611141
2008,Obama,Alabama,1003,FALSE,0,0,176212,81413,19386,0.2381192,0.462017343,0.437942685,0.024074658,0,0,0.227500007,0.010619193
2004,Kerry,Alabama,1003,FALSE,0,0,156573,68570,15599,0.227500007,0.437942685,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1005,FALSE,0,0,29836,11517,5912,0.513328135,0.386010189,0.38979756,-0.003787371,0,0,0.489853799,0.023474336
2008,Obama,Alabama,1005,FALSE,0,0,29836,11630,5697,0.489853799,0.38979756,0.36428135,0.02551621,0,0,0.450300008,0.039553791
2004,Kerry,Alabama,1005,FALSE,0,0,29458,10731,4832,0.450300008,0.36428135,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1007,FALSE,0,0,21589,8420,2202,0.261520177,0.390013433,0.400389087,-0.010375654,0,0,0.265964806,-0.004444629
2008,Obama,Alabama,1007,FALSE,0,0,21589,8644,2299,0.265964806,0.400389087,0.356516409,0.043872678,0,0,0.276300013,-0.010335207
2004,Kerry,Alabama,1007,FALSE,0,0,21208,7561,2089,0.276300013,0.356516409,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1009,FALSE,0,0,57794,24060,2970,0.123441398,0.416306191,0.419887878,-0.003581687,0,0,0.145135403,-0.021694005
