state,fips,obama12fo,romney12fo,battle,swing,core_dem,core_rep,normal,medage08,pop2008,medinc08,black,hispanic,pc_less_hs00,pc_degree00
Alabama,1001,0,0,FALSE,FALSE,FALSE,TRUE,0.572091162,36.20000076,50354,51622,17.29999924,1.700000048,0.213,0.180000007
Alabama,1003,0,0,FALSE,FALSE,FALSE,TRUE,0.578091189,38.79999924,176212,51957,9.899999619,2.299999952,0.180000007,0.231000006
Alabama,1005,0,0,FALSE,TRUE,FALSE,FALSE,0.497149636,37.59999847,29836,30896,46.79999924,3.099999905,0.352999985,0.108999997
Alabama,1007,0,0,FALSE,TRUE,FALSE,FALSE,0.530470371,36.40000153,21589,41076,22.5,1.399999976,0.368000001,0.071000002
Alabama,1009,0,0,FALSE,FALSE,FALSE,TRUE,0.555071592,37.29999924,57794,46086,1.5,6.400000095,0.296000004,0.096000001
Alabama,1011,0,0,FALSE,TRUE,FALSE,FALSE,0.450176875,35.20000076,10921,26980,71.40000153,5.900000095,0.395000011,0.077
Alabama,1013,0,0,FALSE,TRUE,FALSE,FALSE,0.517850449,39.29999924,20171,31449,41.90000153,0.899999976,0.321999997,0.104000002
Alabama,1015,0,0,FALSE,TRUE,FALSE,FALSE,0.523031702,38.70000076,113422,39997,19.70000076,2,0.261000007,0.151999995
Alabama,1017,0,0,FALSE,TRUE,FALSE,FALSE,0.517480165,40.40000153,34473,35614,38.59999847,1.200000048,0.35800001,0.094999999
Alabama,1019,0,0,FALSE,TRUE,FALSE,FALSE,0.476144155,42.09999847,24413,38028,5.5,1.100000024,0.36500001,0.097000003
Alabama,1021,0,0,FALSE,TRUE,FALSE,FALSE,0.54868483,36.5,42696,40292,10.5,3.700000048,0.338,0.098999999
Alabama,1023,0,0,FALSE,TRUE,FALSE,FALSE,0.496701598,42.59999847,14083,30728,43.90000153,0.800000012,0.349999994,0.096000001
Alabama,1025,0,0,FALSE,TRUE,FALSE,FALSE,0.529904356,39.09999847,26264,34101,43.70000076,0.699999988,0.291999996,0.120999999
Alabama,1027,0,0,FALSE,TRUE,FALSE,FALSE,0.533254296,41.59999847,13807,33032,15,2.099999905,0.340000004,0.078000002
Alabama,1029,0,0,FALSE,TRUE,FALSE,FALSE,0.530989925,39.40000153,14736,37742,3.799999952,1.799999952,0.370999992,0.092
Alabama,1031,0,0,FALSE,TRUE,FALSE,FALSE,0.546746016,38,47773,43145,18.5,3.299999952,0.268000007,0.193000004
Alabama,1033,0,0,FALSE,TRUE,FALSE,FALSE,0.47781837,40.90000153,54626,39947,16.70000076,1.299999952,0.26699999,0.141000003
Alabama,1035,0,0,FALSE,TRUE,FALSE,FALSE,0.508732468,42,13038,27068,44.09999847,0.899999976,0.323000014,0.092
Alabama,1037,0,0,FALSE,TRUE,FALSE,FALSE,0.505286763,42.59999847,10724,36050,31.60000038,1.5,0.342999995,0.079999998
Alabama,1039,0,0,FALSE,TRUE,FALSE,FALSE,0.542699993,41.5,36646,33773,12.60000038,0.899999976,0.316000015,0.122000001
Alabama,1041,0,0,FALSE,TRUE,FALSE,FALSE,0.526813587,39.40000153,13686,34402,24.60000038,0.800000012,0.398999989,0.112000003
Alabama,1043,0,0,FALSE,TRUE,FALSE,FALSE,0.528045177,38.59999847,81518,39276,1.200000048,3.099999905,0.296000004,0.119000003
Alabama,1045,0,0,FALSE,FALSE,FALSE,TRUE,0.565087607,37.29999924,48400,42867,20.89999962,3.299999952,0.222000003,0.140000001
Alabama,1047,0,0,FALSE,TRUE,FALSE,FALSE,0.488546838,37.40000153,42627,27992,66.90000153,0.699999988,0.296999991,0.138999999
Alabama,1049,0,0,FALSE,TRUE,FALSE,FALSE,0.524147332,37.5,68894,35377,1.799999952,9,0.361999989,0.082999997
Alabama,1051,0,0,FALSE,FALSE,FALSE,TRUE,0.573301127,35.5,78125,53296,20.70000076,1.700000048,0.224000007,0.165999994
Alabama,1053,0,0,FALSE,TRUE,FALSE,FALSE,0.547449827,38.09999847,37532,32009,31.70000076,1,0.314999998,0.105999999
Alabama,1055,0,0,FALSE,TRUE,FALSE,FALSE,0.491835674,39.20000076,103435,37264,14.60000038,2.400000095,0.259000003,0.134000003
