year,party,candidate_name,poll_date,weeks_left,days_left,before_convention,avg_support
1968,democrat,"Hubert Humphrey, Jr.",4/9/1968,30,210,TRUE,35.15829
1968,democrat,"Hubert Humphrey, Jr.",5/7/1968,26,182,TRUE,36.24287
1968,democrat,"Hubert Humphrey, Jr.",5/28/1968,23,161,TRUE,40.54136
1968,democrat,"Hubert Humphrey, Jr.",6/18/1968,20,140,TRUE,41.74232
1968,democrat,"Hubert Humphrey, Jr.",7/1/1968,18,127,TRUE,40.93461
1968,democrat,"Hubert Humphrey, Jr.",7/23/1968,15,105,TRUE,39.54803
1968,democrat,"Hubert Humphrey, Jr.",8/12/1968,12,85,TRUE,34.05531
1968,democrat,"Hubert Humphrey, Jr.",9/6/1968,9,60,FALSE,33.45343
1968,democrat,"Hubert Humphrey, Jr.",9/24/1968,6,42,FALSE,32.06116
1968,democrat,"Hubert Humphrey, Jr.",10/1/1968,5,35,FALSE,31.86193
1968,democrat,"Hubert Humphrey, Jr.",10/22/1968,2,14,FALSE,33.66005
1968,democrat,"Hubert Humphrey, Jr.",11/2/1968,0,3,FALSE,39.06675
1968,republican,Richard M. Nixon,4/9/1968,30,210,TRUE,47.40974
1968,republican,Richard M. Nixon,5/7/1968,26,182,TRUE,45.22699
1968,republican,Richard M. Nixon,5/28/1968,23,161,TRUE,41.9394
1968,republican,Richard M. Nixon,6/18/1968,20,140,TRUE,42.11079
1968,republican,Richard M. Nixon,7/1/1968,18,127,TRUE,41.10148
1968,republican,Richard M. Nixon,7/23/1968,15,105,TRUE,43.3008
1968,republican,Richard M. Nixon,8/12/1968,12,85,FALSE,46.88525
1968,republican,Richard M. Nixon,9/6/1968,9,60,FALSE,46.88179
1968,republican,Richard M. Nixon,9/24/1968,6,42,FALSE,46.91171
1968,republican,Richard M. Nixon,10/1/1968,5,35,FALSE,47.17408
1968,republican,Richard M. Nixon,10/22/1968,2,14,FALSE,47.54012
1968,republican,Richard M. Nixon,11/2/1968,0,3,FALSE,47.72081
1972,democrat,George S. McGovern,3/7/1972,35,245,TRUE,32
1972,democrat,George S. McGovern,4/7/1972,31,214,TRUE,33.06337
1972,democrat,George S. McGovern,5/1/1972,27,190,TRUE,36.37833
1972,democrat,George S. McGovern,5/10/1972,26,181,TRUE,38.77167
1972,democrat,George S. McGovern,5/29/1972,23,162,TRUE,35.91431
1972,democrat,George S. McGovern,6/12/1972,21,148,TRUE,36.94213
1972,democrat,George S. McGovern,6/19/1972,20,141,TRUE,37.1908
1972,democrat,George S. McGovern,7/6/1972,18,124,TRUE,36.16322
1972,democrat,George S. McGovern,7/17/1972,16,113,FALSE,36.51277
1972,democrat,George S. McGovern,7/26/1972,15,104,FALSE,39.09926
1972,democrat,George S. McGovern,8/3/1972,14,96,FALSE,35.62763667
1972,democrat,George S. McGovern,8/12/1972,12,87,FALSE,32.21361333
1972,democrat,George S. McGovern,8/24/1972,11,75,FALSE,27.36038
1972,democrat,George S. McGovern,8/27/1972,10,72,FALSE,28.64448
1972,democrat,George S. McGovern,9/1/1972,10,67,FALSE,29.04683
1972,democrat,George S. McGovern,9/12/1972,8,56,FALSE,28.15784
1972,democrat,George S. McGovern,9/16/1972,7,52,FALSE,29.10125
1972,democrat,George S. McGovern,9/21/1972,7,47,FALSE,26.30798
1972,democrat,George S. McGovern,9/25/1972,6,43,FALSE,27.863058
1972,democrat,George S. McGovern,10/5/1972,5,33,FALSE,29.67064
1972,democrat,George S. McGovern,10/10/1972,4,28,FALSE,30.02094375
1972,democrat,George S. McGovern,10/18/1972,3,20,FALSE,31.84777
1972,democrat,George S. McGovern,10/19/1972,3,19,FALSE,32.23738
1972,democrat,George S. McGovern,10/24/1972,2,14,FALSE,32.50386
1972,democrat,George S. McGovern,10/26/1972,2,12,FALSE,32.33384556
1972,democrat,George S. McGovern,11/4/1972,0,3,FALSE,33.71223
1972,republican,Richard M. Nixon,3/7/1972,35,245,TRUE,59
1972,republican,Richard M. Nixon,4/7/1972,31,214,TRUE,56.34058
1972,republican,Richard M. Nixon,5/1/1972,27,190,TRUE,52.49701
1972,republican,Richard M. Nixon,5/10/1972,26,181,TRUE,50.25888
1972,republican,Richard M. Nixon,5/29/1972,23,162,TRUE,52.75179
1972,republican,Richard M. Nixon,6/12/1972,21,148,TRUE,53.43283
