year,state,party,candidate_name,poll_date,weeks_left,days_left,before_convention,avg_poll
1972,California,democrat,George S. McGovern,8/6/1972,13,93,FALSE,41.70051087
1972,California,democrat,George S. McGovern,9/21/1972,7,47,FALSE,39.90299222
1972,California,democrat,George S. McGovern,9/30/1972,5,38,FALSE,38.924634
1972,California,democrat,George S. McGovern,10/5/1972,5,33,FALSE,39.18792333
1972,California,democrat,George S. McGovern,10/11/1972,4,27,FALSE,37.73394545
1972,California,democrat,George S. McGovern,10/22/1972,2,16,FALSE,38.43125583
1972,California,democrat,George S. McGovern,11/3/1972,1,4,FALSE,35.41546714
1972,California,republican,Richard M. Nixon,8/6/1972,13,93,TRUE,50.32843913
1972,California,republican,Richard M. Nixon,9/21/1972,7,47,FALSE,47.42166444
1972,California,republican,Richard M. Nixon,9/30/1972,5,38,FALSE,45.919916
1972,California,republican,Richard M. Nixon,10/5/1972,5,33,FALSE,47.90725667
1972,California,republican,Richard M. Nixon,10/11/1972,4,27,FALSE,48.17658364
1972,California,republican,Richard M. Nixon,10/22/1972,2,16,FALSE,50.72902167
1972,California,republican,Richard M. Nixon,11/3/1972,1,4,FALSE,47.31475286
1972,Colorado,democrat,George S. McGovern,11/4/1972,0,3,FALSE,27.3064
1972,Colorado,republican,Richard M. Nixon,11/4/1972,0,3,FALSE,63.63466
1972,Connecticut,democrat,George S. McGovern,9/30/1972,5,38,FALSE,22.99332
1972,Connecticut,democrat,George S. McGovern,10/10/1972,4,28,FALSE,26.06184357
1972,Connecticut,democrat,George S. McGovern,10/24/1972,2,14,FALSE,28.19889824
1972,Connecticut,republican,Richard M. Nixon,9/30/1972,5,38,FALSE,59.004949
1972,Connecticut,republican,Richard M. Nixon,10/10/1972,4,28,FALSE,59.788615
1972,Connecticut,republican,Richard M. Nixon,10/24/1972,2,14,FALSE,57.30418706
1972,Illinois,democrat,George S. McGovern,9/30/1972,5,38,FALSE,24.291888
1972,Illinois,democrat,George S. McGovern,10/5/1972,5,33,FALSE,26.66863
1972,Illinois,democrat,George S. McGovern,10/10/1972,4,28,FALSE,25.83631833
1972,Illinois,democrat,George S. McGovern,10/22/1972,2,16,FALSE,30.18129368
1972,Illinois,republican,Richard M. Nixon,9/30/1972,5,38,FALSE,60.64713
1972,Illinois,republican,Richard M. Nixon,10/5/1972,5,33,FALSE,58.328932
1972,Illinois,republican,Richard M. Nixon,10/10/1972,4,28,FALSE,59.18434
1972,Illinois,republican,Richard M. Nixon,10/22/1972,2,16,FALSE,60.20017842
1972,Kansas,democrat,George S. McGovern,7/22/1972,15,108,FALSE,21.27312165
1972,Kansas,democrat,George S. McGovern,11/2/1972,1,5,FALSE,22.46682375
1972,Kansas,republican,Richard M. Nixon,7/22/1972,15,108,TRUE,59.65622233
1972,Kansas,republican,Richard M. Nixon,11/2/1972,1,5,FALSE,66.6987325
1972,Kentucky,democrat,George S. McGovern,10/16/1972,3,22,FALSE,32.310348
1972,Kentucky,republican,Richard M. Nixon,10/16/1972,3,22,FALSE,48.6880312
1972,Massachusetts,democrat,George S. McGovern,10/16/1972,3,22,FALSE,44.33003737
1972,Massachusetts,democrat,George S. McGovern,11/4/1972,0,3,FALSE,47.03973
1972,Massachusetts,republican,Richard M. Nixon,10/16/1972,3,22,FALSE,48.69548421
1972,Massachusetts,republican,Richard M. Nixon,11/4/1972,0,3,FALSE,43.81844
1972,Michigan,democrat,George S. McGovern,8/16/1972,12,83,FALSE,29.05268
1972,Michigan,democrat,George S. McGovern,9/1/1972,10,67,FALSE,35.38447
1972,Michigan,democrat,George S. McGovern,10/5/1972,5,33,FALSE,36.713102
1972,Michigan,democrat,George S. McGovern,10/10/1972,4,28,FALSE,32.93095167
1972,Michigan,democrat,George S. McGovern,10/16/1972,3,22,FALSE,33.59514167
1972,Michigan,democrat,George S. McGovern,10/22/1972,2,16,FALSE,34.33099
1972,Michigan,democrat,George S. McGovern,11/4/1972,0,3,FALSE,40.82501
1972,Michigan,republican,Richard M. Nixon,8/16/1972,12,83,TRUE,60.13104
1972,Michigan,republican,Richard M. Nixon,9/1/1972,10,67,FALSE,55.78714618
1972,Michigan,republican,Richard M. Nixon,10/5/1972,5,33,FALSE,53.662418
1972,Michigan,republican,Richard M. Nixon,10/10/1972,4,28,FALSE,52.70514833
1972,Michigan,republican,Richard M. Nixon,10/16/1972,3,22,FALSE,52.08810167
1972,Michigan,republican,Richard M. Nixon,10/22/1972,2,16,FALSE,53.59358077
1972,Michigan,republican,Richard M. Nixon,11/4/1972,0,3,FALSE,54.96976
1972,Minnesota,democrat,George S. McGovern,8/16/1972,12,83,FALSE,31.31908556
1972,Minnesota,democrat,George S. McGovern,10/9/1972,4,29,FALSE,33.94706906
1972,Minnesota,republican,Richard M. Nixon,8/16/1972,12,83,TRUE,58.6543987
1972,Minnesota,republican,Richard M. Nixon,10/9/1972,4,29,FALSE,59.72691
1972,Missouri,democrat,George S. McGovern,9/27/1972,6,41,FALSE,12.73684714
1972,Missouri,democrat,George S. McGovern,10/4/1972,5,34,FALSE,19.28384714
1972,Missouri,democrat,George S. McGovern,10/11/1972,4,27,FALSE,15.54212633
1972,Missouri,republican,Richard M. Nixon,9/27/1972,6,41,FALSE,62.58087
1972,Missouri,republican,Richard M. Nixon,10/4/1972,5,34,FALSE,57.87031286
1972,Missouri,republican,Richard M. Nixon,10/11/1972,4,27,FALSE,58.54603633
1972,New Jersey,democrat,George S. McGovern,7/1/1972,18,129,TRUE,28.00018594
1972,New Jersey,democrat,George S. McGovern,10/10/1972,4,28,FALSE,27.67740833
1972,New Jersey,democrat,George S. McGovern,10/16/1972,3,22,FALSE,29.39879125
1972,New Jersey,democrat,George S. McGovern,10/24/1972,2,14,FALSE,30.26264588
1972,New Jersey,republican,Richard M. Nixon,7/1/1972,18,129,TRUE,49.00027505
1972,New Jersey,republican,Richard M. Nixon,10/10/1972,4,28,FALSE,54.34862333
1972,New Jersey,republican,Richard M. Nixon,10/16/1972,3,22,FALSE,55.05393625
1972,New Jersey,republican,Richard M. Nixon,10/24/1972,2,14,FALSE,53.14801588
1972,New York,democrat,George S. McGovern,9/11/1972,8,57,FALSE,31.11303
1972,New York,democrat,George S. McGovern,9/16/1972,7,52,FALSE,28.1697175
1972,New York,democrat,George S. McGovern,9/28/1972,6,40,FALSE,25.04451857
1972,New York,democrat,George S. McGovern,10/5/1972,5,33,FALSE,23.97273333
1972,New York,democrat,George S. McGovern,10/8/1972,4,30,FALSE,29.367675
1972,New York,democrat,George S. McGovern,10/16/1972,3,22,FALSE,31.60916833
1972,New York,democrat,George S. McGovern,10/22/1972,2,16,FALSE,34.71985923
1972,New York,democrat,George S. McGovern,11/4/1972,0,3,FALSE,35.87733
1972,New York,republican,Richard M. Nixon,9/11/1972,8,57,FALSE,51.16222
1972,New York,republican,Richard M. Nixon,9/16/1972,7,52,FALSE,55.19325083
1972,New York,republican,Richard M. Nixon,9/28/1972,6,40,FALSE,58.56876857
1972,New York,republican,Richard M. Nixon,10/5/1972,5,33,FALSE,58.5434
1972,New York,republican,Richard M. Nixon,10/8/1972,4,30,FALSE,56.7899925
1972,New York,republican,Richard M. Nixon,10/16/1972,3,22,FALSE,59.30765333
1972,New York,republican,Richard M. Nixon,10/22/1972,2,16,FALSE,57.58394615
1972,New York,republican,Richard M. Nixon,11/4/1972,0,3,FALSE,58.8518
1972,North Carolina,democrat,George S. McGovern,9/16/1972,7,52,FALSE,24.28236782
1972,North Carolina,republican,Richard M. Nixon,9/16/1972,7,52,FALSE,65.63676182
1972,Ohio,democrat,George S. McGovern,10/5/1972,5,33,FALSE,36.34616647
1972,Ohio,democrat,George S. McGovern,10/22/1972,2,16,FALSE,34.03466154
1972,Ohio,democrat,George S. McGovern,11/4/1972,0,3,FALSE,33.45072
1972,Ohio,republican,Richard M. Nixon,10/5/1972,5,33,FALSE,54.6208
1972,Ohio,republican,Richard M. Nixon,10/22/1972,2,16,FALSE,59.39190308
1972,Ohio,republican,Richard M. Nixon,11/4/1972,0,3,FALSE,56.30234
1972,Oklahoma,democrat,George S. McGovern,10/16/1972,3,22,FALSE,21.9673252
1972,Oklahoma,republican,Richard M. Nixon,10/16/1972,3,22,FALSE,74.7805216
1972,Oregon,democrat,George S. McGovern,9/19/1972,7,49,FALSE,36.99247188
1972,Oregon,democrat,George S. McGovern,10/5/1972,5,33,FALSE,37.1300625
1972,Oregon,republican,Richard M. Nixon,9/19/1972,7,49,FALSE,48.00237188
1972,Oregon,republican,Richard M. Nixon,10/5/1972,5,33,FALSE,48.91766139
1972,Pennsylvania,democrat,George S. McGovern,10/22/1972,2,16,FALSE,38.58677211
1972,Pennsylvania,republican,Richard M. Nixon,10/22/1972,2,16,FALSE,58.22568947
1976,California,democrat,Jimmy Carter,8/5/1976,13,89,FALSE,53.35316792
1976,California,democrat,Jimmy Carter,10/3/1976,4,30,FALSE,46.9027765
1976,California,democrat,Jimmy Carter,10/11/1976,3,22,FALSE,45.32412773
1976,California,democrat,Jimmy Carter,10/22/1976,2,11,FALSE,45.12617386
1976,California,democrat,Jimmy Carter,10/29/1976,1,4,FALSE,42.7688732
1976,California,republican,Gerald R. Ford,8/5/1976,13,89,TRUE,33.86554683
1976,California,republican,Gerald R. Ford,10/3/1976,4,30,FALSE,34.94756888
1976,California,republican,Gerald R. Ford,10/11/1976,3,22,FALSE,38.75349436
1976,California,republican,Gerald R. Ford,10/22/1976,2,11,FALSE,42.27819429
1976,California,republican,Gerald R. Ford,10/29/1976,1,4,FALSE,46.0110724
1976,Colorado,democrat,Jimmy Carter,10/16/1976,2,17,FALSE,42.34900325
1976,Colorado,democrat,Jimmy Carter,10/24/1976,1,9,FALSE,42.1670428
1976,Colorado,republican,Gerald R. Ford,10/16/1976,2,17,FALSE,42.91731588
1976,Colorado,republican,Gerald R. Ford,10/24/1976,1,9,FALSE,43.5154632
1976,Connecticut,democrat,Jimmy Carter,7/16/1976,16,109,FALSE,48.1570352
1976,Connecticut,democrat,Jimmy Carter,9/29/1976,5,34,FALSE,41.70159
1976,Connecticut,republican,Gerald R. Ford,7/16/1976,16,109,TRUE,43.36434929
1976,Connecticut,republican,Gerald R. Ford,9/29/1976,5,34,FALSE,43.15149243
1976,Delaware,democrat,Jimmy Carter,9/3/1976,9,60,FALSE,33.33115159
1976,Delaware,republican,Gerald R. Ford,9/3/1976,9,60,FALSE,30.84257249
1976,Georgia,democrat,Jimmy Carter,10/24/1976,1,9,FALSE,59.7990218
1976,Georgia,republican,Gerald R. Ford,10/24/1976,1,9,FALSE,30.4048573
1976,Idaho,democrat,Jimmy Carter,10/16/1976,2,17,FALSE,29.31454685
1976,Idaho,democrat,Jimmy Carter,10/29/1976,1,4,FALSE,28.5268558
1976,Idaho,republican,Gerald R. Ford,10/16/1976,2,17,FALSE,45.92588346
1976,Idaho,republican,Gerald R. Ford,10/29/1976,1,4,FALSE,47.2116496
1976,Illinois,democrat,Jimmy Carter,9/11/1976,7,52,FALSE,41.34799382
1976,Illinois,democrat,Jimmy Carter,10/3/1976,4,30,FALSE,48.64164231
1976,Illinois,democrat,Jimmy Carter,10/16/1976,2,17,FALSE,49.5476674
1976,Illinois,democrat,Jimmy Carter,10/21/1976,2,12,FALSE,47.27274713
1976,Illinois,democrat,Jimmy Carter,10/29/1976,1,4,FALSE,46.5540696
1976,Illinois,republican,Gerald R. Ford,9/11/1976,7,52,FALSE,44.92197095
1976,Illinois,republican,Gerald R. Ford,10/3/1976,4,30,FALSE,46.04017669
1976,Illinois,republican,Gerald R. Ford,10/16/1976,2,17,FALSE,46.9953674
1976,Illinois,republican,Gerald R. Ford,10/21/1976,2,12,FALSE,46.23009263
1976,Illinois,republican,Gerald R. Ford,10/29/1976,1,4,FALSE,48.106145
