state,total,D,R,year,D_pv2p,R_pv2p
Alabama,2297295,837376,1427820,2020,0.369670439,0.630329561
Alaska,346524,148190,184993,2020,0.444770592,0.555229408
Arizona,3395329,1672054,1661677,2020,0.501556364,0.498443636
Arkansas,1211285,419578,757438,2020,0.356476038,0.643523962
California,16827982,10744672,5721411,2020,0.652533575,0.347466425
Colorado,3256061,1803921,1364202,2020,0.5693974,0.4306026
Connecticut,1823379,1080492,714613,2020,0.601910195,0.398089805
Delaware,504010,296268,200603,2020,0.596267442,0.403732558
District of Columbia,333682,307265,18172,2020,0.944161236,0.055838764
Florida,11067456,5297045,5668731,2020,0.483052453,0.516947547
Georgia,4991938,2472002,2457880,2020,0.501432286,0.498567714
Hawaii,573854,365802,196602,2020,0.650425673,0.349574327
Idaho,868615,287021,554118,2020,0.341228976,0.658771024
Illinois,5833354,3366935,2348194,2020,0.589126685,0.410873315
Indiana,3026214,1240634,1724900,2020,0.418350961,0.581649039
Iowa,1690037,758597,897356,2020,0.458102978,0.541897022
Kansas,1333513,551144,752903,2020,0.422641208,0.577358792
Kentucky,2134996,772285,1326418,2020,0.367982035,0.632017965
Louisiana,2148062,856034,1255776,2020,0.405355595,0.594644405
Maine,812765,429860,359118,2020,0.544831415,0.455168585
Maryland,2921521,1894321,955735,2020,0.664660975,0.335339025
Massachusetts,3529032,2316338,1148777,2020,0.668473629,0.331526371
Michigan,5534909,2795366,2650232,2020,0.513325809,0.486674191
Minnesota,3275727,1716207,1483551,2020,0.536355249,0.463644751
Mississippi,1159362,452795,688745,2020,0.396652767,0.603347233
Missouri,3012436,1242851,1711848,2020,0.420635401,0.579364599
Montana,603636,244783,343598,2020,0.41602805,0.58397195
Nebraska,943049,370912,552071,2020,0.401862223,0.598137777
Nevada,1405376,703486,669890,2020,0.512231173,0.487768827
New Hampshire,803810,424921,365654,2020,0.537483477,0.462516523
New Jersey,4182011,2388680,1730008,2020,0.579961386,0.420038614
New Mexico,921515,499782,401361,2020,0.55460898,0.44539102
New York,6656558,3698632,2850761,2020,0.564728976,0.435271024
North Carolina,5522501,2683787,2757112,2020,0.493261683,0.506738317
North Dakota,361819,114902,235595,2020,0.327825916,0.672174084
Ohio,5765836,2603681,3074418,2020,0.458548011,0.541451989
Oklahoma,1560699,503890,1020280,2020,0.330599605,0.669400395
Oregon,2361091,1333766,952501,2020,0.583381556,0.416618444
Pennsylvania,6860611,3419585,3352498,2020,0.504953203,0.495046797
Rhode Island,516358,306192,199830,2020,0.605096221,0.394903779
South Carolina,2513329,1091541,1385103,2020,0.440733913,0.559266087
South Dakota,422609,150471,261043,2020,0.365652201,0.634347799
Tennessee,3045401,1139289,1849467,2020,0.381191707,0.618808293
Texas,11231799,5211406,5860096,2020,0.470704517,0.529295483
Utah,1408163,527607,818784,2020,0.391867593,0.608132407
Vermont,367428,242820,112704,2020,0.682991866,0.317008134
Virginia,4452022,2406841,1960187,2020,0.551139356,0.448860644
Washington,4060747,2356584,1572345,2020,0.599803152,0.400196848
West Virginia,793747,235657,544826,2020,0.30193739,0.69806261
Wisconsin,3297114,1630389,1609879,2020,0.503164862,0.496835138
Wyoming,276765,73491,193559,2020,0.275195656,0.724804344
Alabama,1182850,659170,504070,1976,56.66672398,43.33327602
Alabama,1341929,636730,654192,1980,49.32366169,50.67633831
Alabama,1441713,551899,872849,1984,38.73660465,61.26339535
Alabama,1378476,549506,815576,1988,40.2544316,59.7455684
Alabama,1688060,690080,804283,1992,46.17887354,53.82112646
Alabama,1534349,662165,769044,1996,46.26612885,53.73387115
Alabama,1666272,692611,941173,2000,42.39305808,57.60694192
Alabama,1883415,693933,1176394,2004,37.10222865,62.89777135
Alabama,2099819,813479,1266546,2008,39.10909725,60.89090275
Alabama,2074338,795696,1255925,2012,38.78377147,61.21622853
Alabama,2123372,729547,1318255,2016,35.62585641,64.37414359
Alaska,123574,44058,71555,1976,38.10817123,61.89182877
Alaska,158445,41842,86112,1980,32.70081436,67.29918564
Alaska,207605,62007,138377,1984,30.94408735,69.05591265
Alaska,200116,72584,119251,1988,37.83668257,62.16331743
Alaska,258506,78294,102000,1992,43.42573796,56.57426204
Alaska,241620,80380,122746,1996,39.57149749,60.42850251
Alaska,285560,79004,167398,2000,32.06305144,67.93694856
Alaska,312598,111025,190889,2004,36.77371702,63.22628298
Alaska,326197,123594,193841,2008,38.93521508,61.06478492
Alaska,300495,122640,164676,2012,42.68470952,57.31529048
Alaska,318608,116454,163387,2016,41.61434529,58.38565471
Arizona,742719,295602,418642,1976,41.38669698,58.61330302
Arizona,873945,246843,529688,1980,31.78791317,68.21208683
Arizona,1025897,333854,681416,1984,32.88327243,67.11672757
Arizona,1171873,454029,702541,1988,39.25650847,60.74349153
Arizona,1486975,543050,572086,1992,48.69809602,51.30190398
Arizona,1404405,653288,622073,1996,51.22377115,48.77622885
Arizona,1532016,685341,781652,2000,46.71740083,53.28259917
Arizona,2012585,893524,1104294,2004,44.72499497,55.27500503
Arizona,2293475,1034707,1230111,2008,45.68609928,54.31390072
Arizona,2299254,1025232,1233654,2012,45.38661978,54.61338022
Arizona,2573165,1161167,1252401,2016,48.1099766,51.8900234
Arkansas,767535,498604,267903,1976,65.04885148,34.95114852
Arkansas,837582,398041,403164,1980,49.68029406,50.31970594
Arkansas,884406,338646,534774,1984,38.7724119,61.2275881
Arkansas,827738,349237,466578,1988,42.80835729,57.19164271
Arkansas,950653,505823,337324,1992,59.99226707,40.00773293
Arkansas,884262,475171,325416,1996,59.35282486,40.64717514
Arkansas,921781,422768,472940,2000,47.19931049,52.80068951
Arkansas,1054945,469953,572898,2004,45.06425175,54.93574825
Arkansas,1086617,422310,638017,2008,39.82827939,60.17172061
Arkansas,1069468,394409,647744,2012,37.84559465,62.15440535
Arkansas,1130635,380494,684872,2016,35.71486231,64.28513769
California,7803770,3742284,3882244,1976,49.08217269,50.91782731
California,8582938,3082943,4522994,1980,40.53337544,59.46662456
California,9505041,3922519,5467009,1984,41.77546518,58.22453482
California,9887065,4702233,5054917,1988,48.19268946,51.80731054
California,11131721,5121325,3630574,1992,58.51672877,41.48327123
California,10019469,5119835,3828381,1996,57.21626523,42.78373477
California,10965822,5861203,4567429,2000,56.20299,43.79701
California,12421353,6745485,5509826,2004,55.04132045,44.95867955
California,13561900,8274473,5011781,2008,62.27844959,37.72155041
California,13038547,7854285,4839958,2012,61.87281116,38.12718884
California,14181595,8753788,4483810,2016,66.12822054,33.87177946
Colorado,1081440,460801,584278,1976,44.09245617,55.90754383
Colorado,1184450,368009,652264,1980,36.06965979,63.93034021
Colorado,1295380,454975,821817,1984,35.63423016,64.36576984
